RestaurantID,Cuisine
UmY9dyGOclJ0tGbn1IozlA,mexican
ZrHG1_Owb87mSmTU63kTPg,pizza
YV0VaJgV2zotzI7XNUaMCQ,american
nfZUADLfijRalf1kknJJCw,pizza
r3bwyyc48GoqIFYLd4gOXw,mexican
RffIwNrMmEf5auDVP1eURA,chinese
bV_RI0zlJkq3XWS7FGmOzg,american
eTzH9lmkmouNlmuJ77i8Ow,indian
NiMLFWCL65B_YFUAW3yo_Q,korean
NcIUA8l_kmbPEwqI9lzELg,mexican
TxaxeiUqQqcFrWrerNqgXw,chinese
Dqb_EZP0gZY4iQBky74nYg,mexican
'-JQavt5ZBdpUH_y7tMWFvw,brunch
XfHgiIsoo1Pr_v04bx9ptg,chinese
hm3WCg3YFGPG-rEAMxpBGg,american
j18_IH_wTXJfEF5S8i0uEA,indian
jjDsVuD7KbxnYV4jFnyftA,korean
5Sy1bM2q4KNX-pSqqfoKgA,pizza
bT4CDzyhV-frXV6ijvXnvw,chinese
0wbKQ4HoA1_JybcB9ayOKA,italian
1oSScsLRONvHppf8i67yoQ,american
__r8_g1cgDaiDn10cGeJ3Q,chinese
_PBFirmOkXNe2jqJl4Jm4A,american
Lst7wAYH_Dlxocz3nYPnow,american
VsqHs36uLxhqmjo60r1aJA,mexican
jFgLOxswrUC_c-iqMjBLyQ,american
A8qXfx_LBI6fnOhxDmvIOA,mexican
1htK0vS5FAHaXXtpAQperQ,pizza
kwknIGiHza2sjdt-bwPGwQ,mexican
tRZcEKBNNwiZw1_Px_POag,american
4jucppz-BA0MiY06DjuBYQ,mexican
oBmL0jr575wzszVGdqfVoA,american
_CBj4pv-I9hbiq35LFoNJg,brunch
bhhdCdRP7mm0OZtOOJeBMg,korean
SaXPPpupqhlaFUDVVAh0OA,american
_WWH46Z3RvdM6TO3hqVa8A,mexican
vIU8kTXKAjiYLHEEP_vLeA,pizza
wOcmiJaW-1vhPmt-4kJ6Pw,brunch
LpQIn07liSugCw3IIQNyvA,indian
VoEB81AQajTsatt56aiTLA,mexican
mA8WPtNnRaY3J_I3Qx3OVQ,korean
FPuOTMD-dmXTFz3rUsEkMg,korean
qKwjmEjFcpP7tWYaigPWaw,korean
vOitNGIQx7vEDgRT1W0JCQ,american
f1lSLfhuOW4IIt78gVGovQ,japanese
1Lsb6F7DprPLabtbMHNURA,american
zGKsWK36Fkz6IZVNcYSp0Q,pizza
N05331bMRnUwz48pRRvD7g,chinese
kWJF8L1u5jdlkLBItUu16w,chinese
PnGSE8JGbMZKtdHi9go7Kg,american
GqTgQEqwf3k5JyE7DHDhjw,italian
WRRs3smfm6rHP5k4Slzr3w,chinese
Q3xTM15H8fRH8wv9PD8weA,american
V3_JuZUvgrS74Mdk2nEvkg,chinese
q3_FgDWWuXcVGiNuo_OPBQ,italian
'-0Hk6l_jyxXW5l3ADGV91g,korean
oi39VAwo4-KGm_gSkWPCsQ,brunch
KEBKGGGkDhnuYdKrjzZblw,korean
H1QphdrrsaB472y9HXi2Ow,american
1Xgsbhqr4niLO_G6BNcO4w,italian
